"No.","Player","Pos.x","Ht","Wt","Birth.Date","X.","Exp","College","playerurls","Salary","Season","Age","Tm","Lg","Pos.y","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","CareerG","CareerGS","CareerMP","CareerFG","CareerFGA","Career3P","Career3PA","Career2P","Career2PA","CareerFT","CareerFTA","CareerORB","CareerDRB","CareerTRB","CareerAST","CareerSTL","CareerBLK","CareerTOV","CareerPF","CareerPTS","PlayoffSeason","PlayoffAge","PlayoffTm","PlayoffLg","PlayoffPos","PlayoffG","PlayoffGS","PlayoffMP","PlayoffFG","PlayoffFGA","PlayoffFG%","Playoff3P","Playoff3PA","Playoff3P%","Playoff2P","Playoff2PA","Playoff2P%","PlayoffeFG%","PlayoffFT","PlayoffFTA","PlayoffFT%","PlayoffORB","PlayoffDRB","PlayoffTRB","PlayoffAST","PlayoffSTL","PlayoffBLK","PlayoffTOV","PlayoffPF","PlayoffPTS","CareerPlayoffG","CareerPlayoffGS","CareerPlayoffMP","CareerPlayoffFG","CareerPlayoffFGA","CareerPlayoff3P","CareerPlayoff3PA","CareerPlayoff2P","CareerPlayoff2PA","CareerPlayoffFT","CareerPlayoffFTA","CareerPlayoffORB","CareerPlayoffDRB","CareerPlayoffTRB","CareerPlayoffAST","CareerPlayoffSTL","CareerPlayoffBLK","CareerPlayoffTOV","CareerPlayoffPF","CareerPlayoffPTS"
1,"Derrick Rose","PG","6-3",190,"October 4, 1988","us",5,"University of Memphis","http://www.basketball-reference.com/players/r/rosede01.html",18862875,"2013-14",25,"CHI","NBA","PG",10,10,311,58,164,0.354,16,47,0.34,42,117,0.359,0.402,27,32,0.844,9,23,32,43,5,1,34,15,159,289,288,10583,2317,5037,230,737,2087,4300,1153,1414,277,826,1103,1954,248,125,850,424,6017,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,1211,274,644,30,117,244,527,151,183,39,100,139,213,31,17,112,67,729
13,"Derrick Williams","PF","6-8",240,"May 25, 1991","us",3,"University of Arizona","http://www.basketball-reference.com/players/w/willide02.html",6331404,"2013-14",22,"TOT","NBA","SF-PF",78,15,1820,206,482,0.427,26,99,0.263,180,383,0.47,0.454,186,259,0.718,71,252,323,56,48,20,76,114,624,222,86,5154,749,1766,128,433,621,1333,514,726,244,820,1064,140,122,88,254,336,2140,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Devin Harris","PG","6-3",192,"February 27, 1983","us",10,"University of Wisconsin","http://www.basketball-reference.com/players/h/harride01.html",3878000,"2013-14",30,"DAL","NBA","PG",40,0,818,96,254,0.378,31,101,0.307,65,153,0.425,0.439,92,115,0.8,8,77,85,178,28,2,59,72,315,641,442,17500,2645,6032,486,1530,2159,4502,2209,2772,224,1288,1512,3104,735,132,1342,1508,7985,"2013-14",30,"DAL","NBA","PG",7,0,176,31,66,0.47,11,25,0.44,20,41,0.488,0.553,7,8,0.875,1,16,17,27,2,2,11,13,80,55,31,1322,193,427,25,89,168,338,106,149,19,83,102,155,43,10,96,142,517
3,"Dewayne Dedmon","C","7-0",245,"August 12, 1989","us",1,"University of Southern California","http://www.basketball-reference.com/players/d/dedmode01.html",816482,"2013-14",24,"TOT","NBA","C",31,6,390,38,83,0.458,0,0,0,38,83,0.458,0.458,21,32,0.656,38,89,127,5,7,22,18,66,97,31,6,390,38,83,0,0,38,83,21,32,38,89,127,5,7,22,18,66,97,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Dion Waiters","SG","6-4",225,"December 10, 1991","us",2,"Syracuse University","http://www.basketball-reference.com/players/w/waitedi01.html",4062000,"2013-14",22,"CLE","NBA","SG",70,24,2072,430,993,0.433,92,250,0.368,338,743,0.455,0.479,161,235,0.685,32,163,195,209,63,17,154,153,1113,131,72,3828,766,1808,155,453,611,1355,320,448,54,290,344,392,122,33,275,266,2007,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"Dirk Nowitzki","PF","7-0",245,"June 19, 1978","de",16,"","http://www.basketball-reference.com/players/n/nowitdi01.html",7974482,"2013-14",35,"DAL","NBA","PF",80,80,2628,633,1273,0.497,131,329,0.398,502,944,0.532,0.549,338,376,0.899,40,458,498,216,73,45,117,165,1735,1188,1157,42603,9407,19748,1471,3843,7936,15905,6501,7400,1322,8272,9594,3139,1037,1095,2208,2945,26786,"2013-14",35,"DAL","NBA","PF",7,7,263,54,126,0.429,1,12,0.083,53,114,0.465,0.433,25,31,0.806,5,51,56,11,6,6,15,20,134,135,135,5544,1141,2475,141,380,1000,2095,1032,1159,205,1165,1370,340,145,124,311,382,3455
14,"D.J. Augustin","PG","6-0",183,"November 10, 1987","us",6,"University of Texas at Austin","http://www.basketball-reference.com/players/a/augusdj01.html",3e+06,"2013-14",26,"TOT","NBA","PG",71,9,1939,298,718,0.415,133,332,0.401,165,386,0.427,0.508,201,227,0.885,15,115,130,313,53,3,125,147,930,429,156,10710,1418,3513,550,1458,868,2055,968,1107,125,660,785,1731,264,17,651,695,4354,"2013-14",26,"CHI","NBA","PG",5,0,141,21,72,0.292,7,26,0.269,14,46,0.304,0.34,17,19,0.895,4,4,8,24,3,0,9,16,66,28,1,530,53,160,28,80,25,80,47,56,7,20,27,44,11,1,23,46,181
15,"Donald Sloan","PG","6-3",205,"January 15, 1988","us",3,"Texas A&M University","http://www.basketball-reference.com/players/s/sloando01.html",948163,"2013-14",26,"IND","NBA","SG",48,1,392,44,117,0.376,10,42,0.238,34,75,0.453,0.419,12,20,0.6,4,40,44,50,10,1,22,19,110,104,12,1324,150,393,19,86,131,307,55,75,25,114,139,193,28,4,85,73,374,"2013-14",26,"IND","NBA","SG",4,0,15,2,7,0.286,1,4,0.25,1,3,0.333,0.357,2,4,0.5,0,1,1,3,1,0,2,0,7,4,0,15,2,7,1,4,1,3,2,4,0,1,1,3,1,0,2,0,7
20,"Donatas Motiejunas","PF","7-0",222,"September 20, 1990","lt",2,"","http://www.basketball-reference.com/players/m/motiedo01.html",1483920,"2013-14",23,"HOU","NBA","PF",62,3,952,131,296,0.443,21,84,0.25,110,212,0.519,0.478,58,96,0.604,60,165,225,34,20,21,49,132,341,106,17,1490,228,509,45,167,183,342,90,147,96,222,318,65,27,31,86,205,591,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,2,0,0,2,2,1,1,1,0,1,0,0,0,0,0,5
1,"Dorell Wright","SF","6-9",205,"December 2, 1985","us",10,"","http://www.basketball-reference.com/players/w/wrighdo01.html",3150000,"2013-14",28,"POR","NBA","SF",68,13,984,111,297,0.374,69,202,0.342,42,95,0.442,0.49,52,69,0.754,29,162,191,64,23,16,39,62,343,501,220,11688,1585,3718,576,1583,1009,2135,632,784,361,1621,1982,809,398,260,457,735,4378,"2013-14",28,"POR","NBA","SF",8,0,88,7,19,0.368,4,12,0.333,3,7,0.429,0.474,11,15,0.733,2,14,16,3,3,9,5,8,29,15,0,204,16,44,6,20,10,24,16,20,4,31,35,12,5,9,11,11,54
23,"Draymond Green","PF","6-7",230,"March 4, 1990","us",2,"Michigan State University","http://www.basketball-reference.com/players/g/greendr01.html",915243,"2013-14",23,"GSW","NBA","SF",82,12,1797,187,459,0.407,55,165,0.333,132,294,0.449,0.467,82,123,0.667,86,323,409,152,102,72,91,231,511,161,13,2858,271,716,69,232,202,484,127,178,144,525,669,205,144,97,142,390,738,"2013-14",23,"GSW","NBA","SF",7,4,228,28,60,0.467,8,29,0.276,20,31,0.645,0.533,19,24,0.792,18,40,58,20,12,12,17,33,83,19,5,451,52,116,17,52,35,64,32,41,32,77,109,39,18,22,29,68,153
90,"Drew Gooden","PF","6-10",250,"September 24, 1981","us",12,"University of Kansas","http://www.basketball-reference.com/players/g/goodedr01.html",8128000,"2013-14",32,"WAS","NBA","C",22,0,395,76,143,0.531,7,17,0.412,69,126,0.548,0.556,24,27,0.889,37,77,114,15,10,7,17,53,183,709,493,18958,3289,7056,58,242,3231,6814,1658,2181,1778,3532,5310,834,515,454,1117,1826,8294,"2013-14",32,"WAS","NBA","C",10,0,146,14,38,0.368,0,4,0,14,34,0.412,0.368,6,8,0.75,20,22,42,4,3,4,4,30,34,54,40,1338,205,447,0,11,205,436,86,108,133,271,404,37,20,22,64,168,496
20,"Dwight Buycks","PG","6-3",190,"March 6, 1989","us",1,"Marquette University","http://www.basketball-reference.com/players/b/buyckdw01.html",48028,"2013-14",24,"TOR","NBA","PG",14,0,146,15,48,0.313,5,17,0.294,10,31,0.323,0.365,8,9,0.889,4,19,23,10,8,0,10,11,43,14,0,146,15,48,5,17,10,31,8,9,4,19,23,10,8,0,10,11,43,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Dwight Howard","C","6-11",265,"December 8, 1985","us",10,"","http://www.basketball-reference.com/players/h/howardw01.html",21436271,"2013-14",28,"HOU","NBA","C",71,71,2396,473,800,0.591,2,7,0.286,471,793,0.594,0.593,349,638,0.547,231,635,866,131,60,128,229,240,1297,768,767,27589,4977,8601,4,46,4973,8555,4070,7086,2748,7135,9883,1174,770,1658,2384,2533,14028,"2013-14",28,"HOU","NBA","C",6,6,231,58,106,0.547,0,0,0,58,106,0.547,0.547,40,64,0.625,27,55,82,11,4,17,19,25,156,67,67,2603,477,803,0,3,477,800,403,690,277,666,943,96,51,183,235,279,1357
3,"Dwyane Wade","SG","6-4",220,"January 17, 1982","us",11,"Marquette University","http://www.basketball-reference.com/players/w/wadedw01.html",1.5e+07,"2013-14",32,"MIA","NBA","SG",54,53,1775,415,761,0.545,9,32,0.281,406,729,0.557,0.551,189,258,0.733,60,181,241,252,79,29,161,106,1028,719,710,26331,6276,12753,350,1211,5926,11542,4579,5984,936,2669,3605,4301,1262,696,2470,1753,17481,"2013-14",32,"MIA","NBA","SG",20,20,693,139,278,0.5,9,24,0.375,130,254,0.512,0.516,69,90,0.767,16,61,77,77,30,5,54,55,356,152,152,5907,1268,2652,85,261,1183,2391,860,1109,213,585,798,768,250,153,524,426,3481
55,"Earl Clark","PF","6-10",225,"January 17, 1988","us",5,"University of Louisville","http://www.basketball-reference.com/players/c/clarkea01.html",62552,"2013-14",26,"TOT","NBA","PF",54,17,768,97,261,0.372,41,122,0.336,56,139,0.403,0.45,22,34,0.647,22,121,143,18,17,25,31,67,257,251,54,3537,442,1095,78,236,364,859,149,222,194,561,755,131,80,132,169,311,1111,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,189,17,43,0,4,17,39,6,9,12,39,51,4,5,7,12,11,40
21,"Ed Davis","PF","6-10",240,"June 5, 1989","us",4,"University of North Carolina","http://www.basketball-reference.com/players/d/davised01.html",981084,"2013-14",24,"MEM","NBA","PF",63,4,956,155,290,0.534,0,0,0,155,290,0.534,0.534,47,89,0.528,92,168,260,27,17,43,40,114,357,275,58,5723,802,1480,0,1,802,1479,292,490,546,1074,1620,190,134,258,218,644,1896,"2013-14",24,"MEM","NBA","PF",7,0,25,3,10,0.3,0,0,0,3,10,0.3,0.3,0,1,0,8,7,15,0,1,3,2,2,6,15,0,73,8,22,0,0,8,22,3,5,12,14,26,0,1,4,4,9,19
13,"Ekpe Udoh","PF","6-10",240,"May 20, 1987","us",4,"Baylor University","http://www.basketball-reference.com/players/u/udohek01.html",981084,"2013-14",26,"MIL","NBA","PF",42,14,804,57,143,0.399,0,0,0,57,143,0.399,0.399,30,47,0.638,61,87,148,31,15,44,38,96,144,237,52,4436,398,929,0,3,398,926,247,344,354,480,834,171,116,317,182,553,1043,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,54,4,9,0,0,4,9,0,0,3,3,6,1,2,2,0,4,8
2,"Elliot Williams","SG","6-5",190,"June 20, 1989","us",2,"University of Memphis","http://www.basketball-reference.com/players/w/williel01.html",215352,"2013-14",24,"PHI","NBA","SG",67,2,1157,140,337,0.415,37,125,0.296,103,212,0.486,0.47,87,119,0.731,30,100,130,72,35,3,68,126,404,91,2,1306,177,411,45,152,132,259,93,137,37,112,149,78,41,6,73,144,492,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Elton Brand","C","6-8",275,"March 11, 1979","us",15,"Duke University","http://www.basketball-reference.com/players/b/brandel01.html",2e+06,"2013-14",34,"ATL","NBA","C",73,15,1414,179,332,0.539,0,2,0,179,330,0.542,0.539,61,94,0.649,97,264,361,74,40,88,60,192,419,1005,863,34199,6526,13018,2,19,6524,12999,3607,4897,3267,5610,8877,2144,914,1795,2031,3029,16661,"2013-14",34,"ATL","NBA","C",7,0,81,2,12,0.167,0,0,0,2,12,0.167,0.167,4,5,0.8,7,16,23,6,1,6,0,10,8,37,30,1139,206,398,0,1,206,397,91,126,92,159,251,64,25,63,40,101,503
34,"Enes Kanter","C","6-11",245,"May 20, 1992","ch",3,"","http://www.basketball-reference.com/players/k/kanteen01.html",5694674,"2013-14",21,"UTA","NBA","C",80,37,2138,419,853,0.491,0,1,0,419,852,0.492,0.491,149,204,0.73,222,376,598,75,28,42,144,230,987,216,39,4090,742,1468,1,3,741,1465,312,426,464,716,1180,114,74,97,299,433,1797,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,43,7,16,0,0,7,16,0,1,8,8,16,1,0,4,4,7,14
2,"Eric Bledsoe","PG","6-1",190,"December 9, 1989","us",4,"University of Kentucky","http://www.basketball-reference.com/players/b/bledser01.html",12173913,"2013-14",24,"PHO","NBA","PG",43,40,1416,265,556,0.477,50,140,0.357,215,416,0.517,0.522,183,237,0.772,27,175,202,235,69,14,143,99,763,240,78,5274,773,1736,119,364,654,1372,416,548,195,520,715,823,301,109,521,399,2081,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,286,52,93,4,16,48,77,18,28,14,27,41,41,15,7,20,33,126
10,"Eric Gordon","SG","6-4",215,"December 25, 1988","us",6,"Indiana University","http://www.basketball-reference.com/players/g/gordoer01.html",14898938,"2013-14",25,"NOP","NBA","SG",64,64,2057,356,817,0.436,101,258,0.391,255,559,0.456,0.498,175,223,0.785,30,135,165,208,74,12,134,114,988,311,294,10649,1844,4175,523,1420,1321,2755,1219,1507,157,635,792,1021,350,91,734,592,5430,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Ersan Ilyasova","PF","6-10",235,"May 15, 1987","tr",6,"","http://www.basketball-reference.com/players/i/ilyaser01.html",7900000,"2013-14",26,"MIL","NBA","PF",55,47,1478,237,579,0.409,37,131,0.282,200,448,0.446,0.441,107,130,0.823,107,235,342,72,46,8,61,135,618,395,221,9521,1585,3578,354,967,1231,2611,651,821,777,1685,2462,449,287,152,397,1010,4175,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,274,44,96,9,24,35,72,17,20,31,51,82,10,10,2,16,22,114
55,"E'Twaun Moore","SG","6-4",191,"February 28, 1989","us",3,"Purdue University","http://www.basketball-reference.com/players/m/mooreet01.html",948163,"2013-14",24,"ORL","NBA","SG",79,3,1506,195,456,0.428,57,161,0.354,138,295,0.468,0.49,52,68,0.765,29,107,136,112,60,13,55,106,499,192,24,3519,475,1167,141,403,334,764,106,134,81,255,336,352,122,39,181,261,1197,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,21,2,8,0,2,2,6,1,2,0,3,3,3,0,1,1,2,5
10,"Evan Fournier","SG","6-7",205,"October 29, 1992","fr",2,"","http://www.basketball-reference.com/players/f/fournev01.html",1483920,"2013-14",21,"DEN","NBA","SG",76,4,1503,228,544,0.419,89,237,0.376,139,307,0.453,0.501,93,123,0.756,34,168,202,112,34,7,100,179,638,114,8,1931,303,696,111,291,192,405,123,162,40,197,237,156,53,8,132,244,840,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,53,6,17,0,8,6,9,7,8,0,0,0,4,2,0,6,6,19
11,"Evan Turner","SG","6-7",220,"October 27, 1988","us",4,"Ohio State University","http://www.basketball-reference.com/players/t/turneev01.html",3278000,"2013-14",25,"TOT","NBA","SF",81,56,2457,434,1021,0.425,50,156,0.321,384,865,0.444,0.45,213,262,0.813,62,346,408,262,67,7,189,195,1131,306,172,8859,1363,3193,133,408,1230,2785,541,703,187,1420,1607,955,227,58,561,647,3400,"2013-14",25,"IND","NBA","SF",12,0,149,15,35,0.429,4,7,0.571,11,28,0.393,0.486,5,5,1,0,26,26,19,4,0,11,9,39,30,12,695,88,227,8,18,80,209,40,55,18,129,147,55,19,7,41,54,224
32,"Francisco Garcia","SF","6-7",195,"December 31, 1981","do",9,"University of Louisville","http://www.basketball-reference.com/players/g/garcifr01.html",1316809,"2013-14",32,"HOU","NBA","SF",55,4,1083,118,294,0.401,69,193,0.358,49,101,0.485,0.519,10,19,0.526,21,101,122,63,27,33,30,120,315,535,137,11653,1547,3596,571,1582,976,2014,613,764,275,1108,1383,732,432,383,535,1209,4278,"2013-14",32,"HOU","NBA","SF",2,0,22,2,6,0.333,0,3,0,2,3,0.667,0.333,3,4,0.75,1,1,2,0,0,0,0,3,7,14,3,227,29,67,18,44,11,23,8,11,4,20,24,10,6,7,4,29,84
24,"Gal Mekel","PG","6-3",191,"March 4, 1988","il",1,"Wichita State University","http://www.basketball-reference.com/players/m/mekelga01.html",1450456,"2013-14",25,"DAL","NBA","PG",31,1,292,30,86,0.349,5,20,0.25,25,66,0.379,0.378,8,12,0.667,5,22,27,63,4,1,31,31,73,31,1,292,30,86,5,20,25,66,8,12,5,22,27,63,4,1,31,31,73,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Garrett Temple","SG","6-6",195,"May 8, 1986","us",4,"Louisiana State University","http://www.basketball-reference.com/players/t/templga01.html",981084,"2013-14",27,"WAS","NBA","SG",75,0,638,51,141,0.362,6,29,0.207,45,112,0.402,0.383,30,43,0.698,21,47,68,72,35,11,42,72,138,177,40,2358,220,568,55,183,165,385,98,147,57,188,245,240,109,40,153,232,593,"2013-14",27,"WAS","NBA","SG",10,0,9,2,2,1,1,1,1,1,1,1,1.25,0,0,0,0,0,0,0,0,0,1,5,5,16,0,24,3,5,2,4,1,1,1,1,0,2,2,2,1,0,3,6,9
12,"Gary Neal","SG","6-4",210,"October 3, 1984","us",4,"Towson University","http://www.basketball-reference.com/players/n/nealga01.html",3250000,"2013-14",29,"TOT","NBA","SG",52,3,1114,193,471,0.41,68,180,0.378,125,291,0.43,0.482,94,105,0.895,10,80,90,83,18,0,64,65,548,256,28,5489,936,2186,369,937,567,1249,292,347,56,491,547,425,102,8,271,381,2533,"2013-14",29,"CHA","NBA","SG",4,0,104,18,51,0.353,4,18,0.222,14,33,0.424,0.392,5,7,0.714,3,5,8,4,0,0,8,9,45,45,0,822,126,314,48,139,78,175,39,43,7,82,89,43,6,2,34,74,339
3,"George Hill","PG","6-3",188,"May 4, 1986","us",6,"Indiana University-Purdue University Indianapolis","http://www.basketball-reference.com/players/h/hillge01.html",8e+06,"2013-14",27,"IND","NBA","PG",76,76,2434,272,616,0.442,95,260,0.365,177,356,0.497,0.519,142,176,0.807,53,230,283,265,75,23,92,158,781,433,216,12022,1616,3610,455,1225,1161,2385,937,1159,227,1053,1280,1320,378,134,534,915,4624,"2013-14",27,"IND","NBA","PG",19,19,687,79,178,0.444,28,77,0.364,51,101,0.505,0.522,44,61,0.721,13,58,71,57,23,4,28,43,230,68,57,2327,282,663,95,264,187,399,209,257,40,192,232,189,79,16,108,147,868
14,"Gerald Green","SG","6-7",205,"January 26, 1986","us",7,"","http://www.basketball-reference.com/players/g/greenge01.html",3500000,"2013-14",28,"PHO","NBA","SG",82,48,2330,448,1006,0.445,204,510,0.4,244,496,0.492,0.547,195,230,0.848,48,227,275,122,70,42,145,220,1295,354,98,7083,1264,2958,436,1171,828,1787,514,629,199,692,891,351,189,119,460,699,3478,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,131,25,64,12,38,13,26,4,6,2,12,14,3,1,1,8,14,66
9,"Gerald Henderson","SG","6-5",215,"December 9, 1987","us",5,"Duke University","http://www.basketball-reference.com/players/h/hendege02.html",6e+06,"2013-14",26,"CHA","NBA","SG",77,77,2461,403,930,0.433,40,115,0.348,363,815,0.445,0.455,235,309,0.761,31,279,310,199,51,32,113,159,1081,311,220,8441,1413,3182,95,317,1318,2865,811,1036,214,833,1047,616,228,127,399,579,3732,"2013-14",26,"CHA","NBA","SG",4,4,119,14,37,0.378,0,9,0,14,28,0.5,0.378,11,17,0.647,1,15,16,9,4,1,6,12,39,4,4,119,14,37,0,9,14,28,11,17,1,15,16,9,4,1,6,12,39
45,"Gerald Wallace","SF","6-7",215,"July 23, 1982","us",13,"University of Alabama","http://www.basketball-reference.com/players/w/wallage01.html",10105855,"2013-14",31,"BOS","NBA","SF",58,16,1416,116,230,0.504,19,64,0.297,97,166,0.584,0.546,47,101,0.465,36,176,212,143,73,14,97,79,298,800,611,24445,3502,7458,406,1300,3096,6158,2488,3502,1128,3653,4781,1714,1185,677,1468,1810,9898,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,17,685,87,190,19,57,68,133,69,95,17,110,127,45,22,17,34,59,262
34,"Giannis Antetokounmpo","SG","6-11",222,"December 6, 1994","gr",1,"","http://www.basketball-reference.com/players/a/antetgi01.html",1873200,"2013-14",19,"MIL","NBA","SF",77,23,1897,173,418,0.414,41,118,0.347,132,300,0.44,0.463,138,202,0.683,78,261,339,150,60,61,122,173,525,77,23,1897,173,418,41,118,132,300,138,202,78,261,339,150,60,61,122,173,525,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"Glen Davis","PF","6-9",289,"January 1, 1986","us",7,"Louisiana State University","http://www.basketball-reference.com/players/d/davisgl01.html",7827985,"2013-14",28,"TOT","NBA","PF",68,44,1662,271,593,0.457,4,11,0.364,267,582,0.459,0.46,95,137,0.693,108,243,351,77,58,29,76,159,641,440,121,9961,1497,3356,10,51,1487,3305,813,1152,688,1379,2067,418,316,152,489,1106,3817,"2013-14",28,"LAC","NBA","PF",13,0,158,25,41,0.61,0,0,0,25,41,0.61,0.61,0,0,0,14,22,36,9,3,3,7,24,50,82,20,1669,241,509,0,5,241,504,142,199,128,199,327,63,51,30,77,195,624
14,"Glen Rice","SG","6-6",206,"January 1, 1991","us",1,"Georgia Institute of Technology","http://www.basketball-reference.com/players/r/ricegl02.html",4e+05,"2013-14",23,"WAS","NBA","SG",11,1,109,11,37,0.297,5,17,0.294,6,20,0.3,0.365,5,7,0.714,4,16,20,7,6,1,9,7,32,11,1,109,11,37,5,17,6,20,5,7,4,16,20,7,6,1,9,7,32,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Goran Dragic","PG","6-3",190,"May 6, 1986","si",6,"","http://www.basketball-reference.com/players/d/dragigo01.html",7500000,"2013-14",27,"PHO","NBA","SG",76,75,2668,552,1093,0.505,122,299,0.408,430,794,0.542,0.561,316,416,0.76,69,176,245,447,104,22,213,206,1542,424,188,10405,1732,3755,428,1174,1304,2581,963,1289,289,778,1067,1923,440,79,898,929,4855,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,237,43,100,13,40,30,60,23,31,10,19,29,36,4,1,16,18,122
20,"Gordon Hayward","SF","6-8",226,"March 23, 1990","us",4,"Butler University","http://www.basketball-reference.com/players/h/haywago01.html",14746000,"2013-14",23,"UTA","NBA","SF",77,77,2800,426,1032,0.413,85,280,0.304,341,752,0.453,0.454,311,381,0.816,62,329,391,400,110,40,212,155,1248,287,179,8137,1171,2684,277,759,894,1925,816,1004,213,772,985,901,251,138,511,492,3435,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,123,6,33,1,12,5,21,16,16,2,9,11,12,3,0,3,4,29
5,"Gorgui Dieng","C","6-11",241,"January 18, 1990","sn",1,"University of Louisville","http://www.basketball-reference.com/players/d/dienggo01.html",1413480,"2013-14",24,"MIN","NBA","C",60,15,818,113,227,0.498,1,1,1,112,226,0.496,0.5,59,93,0.634,103,197,300,39,30,50,54,108,286,60,15,818,113,227,1,1,112,226,59,93,103,197,300,39,30,50,54,108,286,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Greg Monroe","PF","6-11",265,"June 4, 1990","us",4,"Georgetown University","http://www.basketball-reference.com/players/m/monrogr01.html",5479934,"2013-14",23,"DET","NBA","PF",82,82,2690,504,1015,0.497,0,1,0,504,1014,0.497,0.497,241,367,0.657,256,504,760,171,91,47,166,205,1249,309,277,9681,1728,3404,0,7,1728,3397,857,1264,979,1796,2775,709,372,193,642,771,4313,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Greg Smith","PF","6-10",250,"January 8, 1991","us",3,"California State University, Fresno","http://www.basketball-reference.com/players/s/smithgr02.html",948163,"2013-14",23,"HOU","NBA","C",11,0,100,18,28,0.643,0,0,0,18,28,0.643,0.643,2,5,0.4,11,16,27,0,1,2,5,17,38,89,10,1279,195,313,0,1,195,312,83,135,127,241,368,26,21,47,47,209,473,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,59,6,9,0,0,6,9,6,12,7,6,13,0,2,2,4,9,18
